player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option
Jaylon Tyson,tysonja01,CLE,3492480,3,False,False,True
Jaxson Hayes,hayesja02,LAL,3449323,1,False,False,False
Dominick Barlow,barlodo01,PHI,3415000,2,False,False,True
Noah Clowney,clownno01,BRK,3398640,2,False,False,True
Drake Powell,poweldr01,BRK,3372240,4,True,False,True
Yves Missi,missiyv01,NOP,3353040,3,False,False,True
Blake Wesley,weslebl01,WAS,5643732,1,False,False,True
Taurean Prince,princta02,MIL,3303774,2,False,True,False
Dariq Whitehead,whiteda01,BRK,3262560,1,False,False,True
Asa Newell,newelas01,ATL,3237480,4,True,False,True
DaRon Holmes,holmeda01,DEN,3218760,3,False,False,True
Kris Murray,murrakr01,POR,3132000,2,False,False,True
Nique Clifford,cliffni01,SAC,3108120,4,True,False,True
Nassir Little,littlna01,PHO,3107143,4,False,False,False
AJ Johnson,johnsaj01,DAL,3090480,3,False,False,True
De'Anthony Melton,meltode01,GSW,3080921,2,False,True,False
Kyle Filipowski,filipky01,UTA,3000000,3,False,False,True
Ajay Mitchell,mitchaj01,OKC,3000000,3,False,False,True
Julian Champagnie,champju02,SAS,3000000,2,False,False,True
Jase Richardson,richaja02,ORL,2983320,4,True,False,True
Kyshawn George,georgky01,WAS,2966760,3,False,False,True
Tony Bradley,bradlto01,IND,3204816,1,False,False,True
Marcus Sasser,sassema01,DET,2886720,2,False,False,True
Ben Saraf,sarafbe01,BRK,2884560,4,True,False,True
Pacôme Dadiet,dadiepa01,NYK,2847600,3,False,False,True
Danny Wolf,wolfda01,BRK,2801280,4,True,False,True
Ben Sheppard,sheppbe01,IND,2790720,2,False,False,True
Hugo González,gonzahu01,BOS,2783880,4,True,False,True
Liam McNeeley,mcneeli01,CHO,2763960,4,True,False,True
Dillon Jones,jonesdi01,WAS,2753280,1,False,False,False
Yanic Konan Niederhäuser,konanya01,LAC,2743800,4,True,False,True
Nick Smith Jr.,smithni01,CHO,2710680,1,False,False,True
Brice Sensabaugh,sensabr01,UTA,2693760,2,False,False,True
Julian Strawther,strawju01,DEN,2674200,2,False,False,True
Terrence Shannon Jr.,shannte01,MIN,2674080,3,False,False,True
Ryan Dunn,dunnry01,PHO,2657760,3,False,False,True
Kobe Brown,brownko01,IND,2654880,2,False,False,True
Isaiah Collier,colliis01,UTA,2638200,3,False,False,True
Baylor Scheierman,scheiba01,BOS,2619000,3,False,False,True
Xavier Tillman Sr.,tillmxa01,CHO,2546675,1,False,False,False
Cam Spencer,spencca01,MEM,2537989,4,False,False,True
Luka Garza,garzalu01,BOS,2461463,2,False,False,False
